epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4449.53,2.00668,0.94763,0.91438,0.36503,0.16794,0.18712,0.09199,2.16355,0.98186,0.92254,0.0003268,0.0003268,0.0003268
70,4496.96,1.97828,0.92643,0.90571,0.4128,0.27162,0.26607,0.10153,2.11292,1.13873,0.92294,0.0003169,0.0003169,0.0003169
71,4562.73,2.00901,0.93347,0.91472,0.51373,0.15266,0.17492,0.08537,2.20196,1.08503,0.92664,0.000307,0.000307,0.000307
72,4631.92,2.01398,0.9396,0.90964,0.51172,0.17939,0.18585,0.08977,2.20495,1.04941,0.92458,0.0002971,0.0002971,0.0002971
73,4700.96,2.02065,0.9572,0.91209,0.39923,0.18181,0.19542,0.09304,2.19641,0.99259,0.93522,0.0002872,0.0002872,0.0002872
74,4771.05,2.01255,0.93242,0.91144,0.55046,0.17424,0.18955,0.09239,2.15627,1.01559,0.92568,0.0002773,0.0002773,0.0002773
75,4837.42,1.99562,0.93057,0.91039,0.52035,0.17718,0.19528,0.09861,2.06883,0.97931,0.91506,0.0002674,0.0002674,0.0002674
76,4904.51,1.95259,0.91285,0.90564,0.57049,0.16848,0.19715,0.10091,2.05586,0.98754,0.91869,0.0002575,0.0002575,0.0002575
77,4972.05,1.96547,0.90673,0.90289,0.71348,0.16331,0.18764,0.0944,2.12063,0.9878,0.91841,0.0002476,0.0002476,0.0002476
78,5037.66,1.94386,0.91647,0.91261,0.5283,0.16661,0.1834,0.09288,2.12486,1.05137,0.9145,0.0002377,0.0002377,0.0002377
79,5103.52,1.95589,0.91554,0.90131,0.35021,0.1651,0.18365,0.09159,2.19521,1.01678,0.9226,0.0002278,0.0002278,0.0002278
80,5170.49,1.93579,0.90646,0.91041,0.5592,0.16591,0.17878,0.08956,2.16199,1.0779,0.91969,0.0002179,0.0002179,0.0002179
81,5238.22,1.95582,0.90895,0.9002,0.39133,0.17176,0.19176,0.09696,2.10083,0.98961,0.91778,0.000208,0.000208,0.000208
82,5305.79,1.94612,0.91358,0.90536,0.37538,0.16866,0.18567,0.09139,2.17387,1.01331,0.91923,0.0001981,0.0001981,0.0001981
